subject,trial,muscle,r_lag0,r_best,lag_s
subject7,walking2,semiten_r,0.9272414546279022,0.9670569650331695,0.02
subject7,walking2,bflh_r,0.9443516645772526,0.9443516645772526,0.0
subject7,walking2,glmed1_r,0.8950583347321316,0.9205662005049644,0.02
subject7,walking3,soleus_l,0.7346245251610382,0.7346245251610382,0.0
subject7,walking3,gasmed_l,0.6877692505607641,0.6958059326662334,0.02
subject7,walking3,tibant_l,-0.29470385286207823,-0.09694351341452721,0.12
subject7,walking3,recfem_l,0.05961833996215408,0.22755456039225533,0.07
subject7,walking3,vasmed_l,0.40294122262001425,0.40294122262001425,0.0
subject7,walking3,vaslat_l,0.4357353401084102,0.46107801623947536,0.03
subject7,walking3,semiten_l,0.540112339309845,0.7831002539874458,0.05
subject7,walking3,bflh_l,0.24509858224177403,0.24509858224177403,0.0
subject7,walking3,glmed1_l,0.7015277693116676,0.8912437772634592,0.07
subject7,walking3,soleus_r,0.8588418629893089,0.8662307592621455,0.01
subject7,walking3,gasmed_r,0.8131624631063846,0.8131624631063846,0.0
subject7,walking3,vasmed_r,0.3740454726032404,0.39704999085510934,0.01
subject7,walking3,vaslat_r,0.2751211149412697,0.5174867342882931,0.12
subject7,walking3,semiten_r,0.9379338119908165,0.9880204955316112,0.02
subject7,walking3,bflh_r,0.9408056713591474,0.9408056713591474,0.0
subject7,walking3,glmed1_r,0.858951155520324,0.8615793666120685,0.01
subject7,walkingTS1,soleus_l,0.6133308655128495,0.7291093746638316,0.06
subject7,walkingTS1,gasmed_l,0.3511381568706389,0.6731093985308036,0.12
subject7,walkingTS1,tibant_l,0.573265484649737,0.573265484649737,0.0
subject7,walkingTS1,recfem_l,-0.04306070225970555,0.1197943079403348,0.06
subject7,walkingTS1,vasmed_l,0.9536071625103433,0.9536071625103433,0.0
subject7,walkingTS1,vaslat_l,0.9513967464584916,0.9513967464584916,0.0
subject7,walkingTS1,semiten_l,0.44615114569022823,0.44615114569022823,0.0
subject7,walkingTS1,bflh_l,-0.1112940357688069,-0.1112940357688069,0.0
subject7,walkingTS1,glmed1_l,0.5559870464215321,0.6244743131581165,0.06
subject7,walkingTS1,soleus_r,0.5950823546593591,0.7565400598614399,0.05
subject7,walkingTS1,gasmed_r,0.5798893050305728,0.5798893050305728,0.0
subject7,walkingTS1,vasmed_r,0.8382736592562023,0.8496224341158717,0.08
subject7,walkingTS1,vaslat_r,0.876474550064187,0.876474550064187,0.0
subject7,walkingTS1,semiten_r,0.4272310436063775,0.49304357634982926,0.05
subject7,walkingTS1,bflh_r,0.2859168857279982,0.2859168857279982,0.0
subject7,walkingTS1,glmed1_r,0.7197836524449661,0.7197836524449661,0.0
